Date,Headline,Source,Market_Index,Index_Change_Percent,Trading_Volume,Sentiment,Impact_Level,Related_Company,News_Url,Impact_Level_Numeric,Sentiment_Numeric,Sector_Aerospace & Defense,Sector_Agriculture,Sector_Automotive,Sector_Construction,Sector_Consumer Goods,Sector_Energy,Sector_Finance,Sector_Healthcare,Sector_Industrials,Sector_Materials,Sector_Media & Entertainment,Sector_Pharmaceuticals,Sector_Real Estate,Sector_Retail,Sector_Technology,Sector_Telecommunications,Sector_Transportation,Sector_Utilities,Market_Event_Bond Market Fluctuation,Market_Event_Central Bank Meeting,Market_Event_Commodity Price Shock,Market_Event_Consumer Confidence Report,Market_Event_Corporate Earnings Report,Market_Event_Cryptocurrency Regulation,Market_Event_Currency Devaluation,Market_Event_Economic Data Release,Market_Event_Geopolitical Event,Market_Event_Government Policy Announcement,Market_Event_IPO Launch,Market_Event_Inflation Data Release,Market_Event_Interest Rate Change,Market_Event_Major Merger/Acquisition,Market_Event_Market Rally,Market_Event_Regulatory Changes,Market_Event_Stock Market Crash,Market_Event_Supply Chain Disruption,Market_Event_Trade Tariffs Announcement,Market_Event_Unemployment Rate Announcement
2025-05-21,Nikkei 225 index benefits from a weaker yen,Times of India,DAX,3.52,166.45,Negative,High,Goldman Sachs,https://timesofindia.indiatimes.com/business/markets/stock-market-crash,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-18,Government subsidy program gives a lift to the agriculture sector,Financial Times,Shanghai Composite,-3.39,57.61,Neutral,Low,ExxonMobil,https://timesofindia.indiatimes.com/business/markets/stock-market-crash,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-25,New housing data release shows a slowdown in market activity,The Hindu Business Line,Shanghai Composite,-0.05,403.22,Neutral,Medium,Boeing,https://www.moneycontrol.com/us-markets/sp-500,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-21,Massive stock buyback program announced by a consumer goods company,The Economist,NSE Nifty,-2.29,100.11,Positive,Low,Samsung Electronics,https://www.cnbc.com/2025/09/automotive-industry-trends,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-23,Government spending bill is expected to stimulate the economy,The Motley Fool,Nasdaq Composite,-3.97,438.22,Negative,Low,JP Morgan Chase,https://www.bloomberg.com/australia/asx-200-performance,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-03-18,Central bank maintains status quo on interest rates,Bloomberg,IBOVESPA,0.56,36.24,Negative,Low,ExxonMobil,https://www.reuters.com/markets/indices/ftse-100,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-03-02,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Barron's,Shanghai Composite,-3.68,273.35,Neutral,Medium,JP Morgan Chase,https://www.cnbc.com/2025/08/russia-ukraine-war-economic-impact,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-04-05,A massive data breach sends a tech company's stock tumbling,Wall Street Journal,DAX,-4.33,420.89,Positive,Low,JP Morgan Chase,https://www.ft.com/content/tech-sector-innovation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025-06-18,Market sentiment turns positive on vaccine trial results,Investopedia,Nikkei 225,3.35,76.55,Negative,Low,JP Morgan Chase,https://www.wsj.com/europe/dax-performance,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2025-07-17,"Global trade talks collapse, causing market turmoil",Investopedia,FTSE 100,-1.66,36.59,Positive,Medium,Tesla,https://www.ft.com/content/media-entertainment-merger,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-28,Aerospace and Defense sector sees rally amid geopolitical tensions,Investopedia,TSX,-2.01,261.94,Negative,Medium,Tesla,https://www.business-standard.com/economy/economic-stimulus,2,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-28,Supply chain issues impact manufacturing sector earnings,The Economist,ASX 200,-2.45,371.87,Neutral,High,ExxonMobil,https://www.cnbc.com/2025/12/healthcare-sector-outlook,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2025-06-30,Market braces for a major policy announcement from the EU,Reuters,BSE Sensex,0.92,286.71,Positive,Medium,Tata Motors,https://www.reuters.com/markets/indices/nikkei-225,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-26,New IPO for a popular software firm is oversubscribed,The Motley Fool,Shanghai Composite,2.83,13.97,Negative,Medium,Apple Inc.,https://www.reuters.com/business/retail-sector-earnings,2,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025-06-02,Market sentiment turns positive on vaccine trial results,The Motley Fool,KOSPI,-2.92,475.95,Negative,Low,Boeing,https://www.wsj.com/europe/regulatory-changes,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-04-02,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Barron's,Shanghai Composite,4.41,448.6,Positive,High,Samsung Electronics,https://www.bloomberg.com/australia/asx-200-performance,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-07-18,Manufacturing PMI data signals economic expansion,CNBC,Nasdaq Composite,-1.3,6.76,Neutral,Low,Microsoft,https://economictimes.indiatimes.com/stocks/bse-sensex-plunges,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-07-22,Financial services stocks rally on strong profit margins,Forbes,BSE Sensex,4.15,410.09,Positive,Medium,JP Morgan Chase,https://www.business-standard.com/economy/inflation-data,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2025-08-03,Mining company stock surges on commodity price boom,CNBC,NSE Nifty,-0.95,29.44,Negative,Medium,Boeing,https://www.reuters.com/markets/indices/nikkei-225,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-23,Tech Giant's New Product Launch Sparks Sector-Wide Gains,The Motley Fool,ASX 200,-2.37,470.23,Neutral,Low,Microsoft,https://www.wsj.com/china/market-rally,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025-03-12,Financial sector bracing for new capital requirements,Seeking Alpha,Euro Stoxx 50,-1.96,76.95,Positive,High,Apple Inc.,https://www.business-standard.com/economy/trade-disputes-impact,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-30,Major technology firm acquires a smaller rival in a multi-billion dollar deal,The Motley Fool,Hang Seng,0.21,268.35,Neutral,Low,JP Morgan Chase,Missing News URL,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-04-07,ASX 200 gains on strong export performance,Reuters,TSX,4.28,269.15,Positive,High,JP Morgan Chase,https://www.reuters.com/business/retail-sector-earnings,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-02-25,ASX 200 gains on strong export performance,The Motley Fool,Russell 2000,-2.02,226.39,Neutral,Low,Microsoft,https://www.theeconomist.com/world/government-policy-announcement,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-06-05,Bond yields tumble as investors seek safe havens,CNBC,Nikkei 225,-0.05,251.63,Positive,Medium,ExxonMobil,https://www.ft.com/content/currency-devaluation,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-14,Utilities sector remains stable during market fluctuations,Economic Times,CAC 40,1.34,349.78,Neutral,High,ExxonMobil,https://www.moneycontrol.com/india/ipo-news/new-firm-launches,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-30,Financial sector bracing for new capital requirements,Barron's,Nasdaq Composite,-1.18,48.95,Neutral,Low,Microsoft,https://www.moneycontrol.com/india/ipo-news/new-firm-launches,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-05-20,Consumer Discretionary stocks outperform as spending increases,Economic Times,Russell 2000,2.46,258.4,Positive,Medium,Apple Inc.,https://www.marketwatch.com/story/commodities-price-shock,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-23,Quarterly report shows surprising losses for retail giants,MarketWatch,IBOVESPA,-4.4,444.33,Positive,Low,Reliance Industries,https://www.business-standard.com/economy/inflation-data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-14,Major oil spill sends energy stocks plummeting,Economic Times,Nikkei 225,3.53,320.06,Negative,Low,Samsung Electronics,https://www.wsj.com/china/market-regulation,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-22,China's Shanghai Composite falls after new trade restrictions,The Economist,Nikkei 225,-3.44,329.44,Positive,Low,Tata Motors,https://timesofindia.indiatimes.com/business/markets/stock-market-crash,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-02,Healthcare stocks gain on robust demand and strong outlook,Yahoo Finance,S&P 500,1.86,411.34,Positive,Low,Microsoft,https://www.bloomberg.com/canada/tsunami-warnings,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-05-09,Retail sales report surpasses all forecasts,Forbes,FTSE 100,-2.67,45.77,Neutral,Low,JP Morgan Chase,https://www.investopedia.com/articles/government-policy-announcement,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-25,Government spending bill is expected to stimulate the economy,Forbes,S&P/TSX Composite,4.1,162.75,Negative,Low,Boeing,https://www.bloomberg.com/canada/tsunami-warnings,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-13,Bond yields tumble as investors seek safe havens,Forbes,NSE Nifty,3.52,305.06,Positive,High,Tata Motors,https://timesofindia.indiatimes.com/business/corporate-governance,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-07-13,Government spending bill is expected to stimulate the economy,Financial Times,CAC 40,0.02,215.73,Negative,Low,Apple Inc.,https://www.cnbc.com/2025/08/russia-ukraine-war-economic-impact,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-24,Financial sector bracing for new capital requirements,The Economist,Euro Stoxx 50,1.48,238.3,Neutral,Medium,Microsoft,https://www.marketwatch.com/story/commodities-price-shock,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-02,Financial services stocks rally on strong profit margins,Investopedia,Hang Seng,-4.03,349.01,Negative,High,Microsoft,https://www.cnbc.com/2025/11/major-merger-deal-approved,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
